indicator_code,country_iso3,who_region,year,dim1_type,dim1,value_numeric,value_low,value_high,value_display,last_updated
cpmt,NAM,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_NAMDHS200605,39.09469,34.13798,44.28715,39.1 [34.1-44.3],2022-05-26T14:35:42+02:00
cpmt,NAM,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_NAMDHS200604,63.84217,58.16573,69.1568,63.8 [58.2-69.2],2022-05-26T14:35:42+02:00
cpmt,NGA,AFR,2003,AGEGROUP,AGEGROUP_YEARS20-49,13.53044,12.16355,15.02466,13.5 [12.2-15.0],2022-05-26T11:04:50+02:00
cpmt,TZA,AFR,2004,DHSMICSGEOREGION,DHSMICSGEOREGION_TZADHS200422,7.78707,5.19125,11.52312,7.8 [5.2-11.5],2022-05-26T14:51:20+02:00
cpmt,NER,AFR,1998,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,5.7921,4.0842,8.15349,5.8 [4.1-8.2],2022-05-26T12:22:25+02:00
cpmt,CIV,AFR,1994,DHSMICSGEOREGION,DHSMICSGEOREGION_CIVDHS199409,4.65398,2.7412,7.79452,4.7 [2.7-7.8],2022-05-26T14:18:56+02:00
cpmt,MRT,AFR,2011,AGEGROUP,AGEGROUP_YEARS20-49,11.70751,10.86242,12.60906,11.7 [10.9-12.6],2022-05-26T11:04:06+02:00
cpmt,TZA,AFR,1999,DHSMICSGEOREGION,DHSMICSGEOREGION_TZADHS199920,10.52005,5.95283,17.92359,10.5 [6.0-17.9],2022-05-26T14:51:06+02:00
cpmt,BDI,AFR,2016,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,26.57952,23.14449,30.32323,26.6 [23.1-30.3],2022-05-26T12:01:19+02:00
cpmt,RWA,AFR,2005,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,15.05571,12.55945,17.94628,15.1 [12.6-17.9],2022-05-26T12:28:45+02:00
cpmt,MOZ,AFR,2008,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,15.83219,14.2416,17.56403,15.8 [14.2-17.6],2022-05-26T11:21:22+02:00
cpmt,SLE,AFR,2019,DHSMICSGEOREGION,DHSMICSGEOREGION_SLEDHS201904,23.65946,21.11591,26.40682,23.7 [21.1-26.4],2022-05-26T14:47:08+02:00
cpmt,NGA,AFR,1999,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,23.40532,20.30773,26.81641,23.4 [20.3-26.8],2022-05-26T11:37:56+02:00
cpmt,MLI,AFR,2006,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,3.54521,2.72949,4.5932,3.5 [2.7-4.6],2022-05-26T12:57:25+02:00
cpmt,CMR,AFR,2006,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,36.64101,33.29314,40.12305,36.6 [33.3-40.1],2022-05-26T11:33:29+02:00
cpmt,GHA,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_GHAMICS200606,18.23179,14.34608,22.88873,18.2 [14.3-22.9],2022-05-26T14:23:43+02:00
cpmt,COD,AFR,2010,DHSMICSGEOREGION,DHSMICSGEOREGION_CODMICS201005,16.30339,11.75226,22.17413,16.3 [11.8-22.2],2022-05-26T14:19:29+02:00
cpmt,MWI,AFR,2015,DHSMICSGEOREGION,DHSMICSGEOREGION_MWIDHS201503,55.47782,53.9608,56.98469,55.5 [54.0-57.0],2022-05-26T14:33:08+02:00
cpmt,ZWE,AFR,2014,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,73.04157,70.00968,75.87257,73.0 [70.0-75.9],2022-05-26T12:39:16+02:00
cpmt,KEN,AFR,1998,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,36.16956,34.3445,38.03542,36.2 [34.3-38.0],2022-05-26T11:36:16+02:00
cpmt,UGA,AFR,2016,DHSMICSGEOREGION,DHSMICSGEOREGION_UGADHS201613,43.34089,38.97095,47.81693,43.3 [39.0-47.8],2022-05-26T14:50:18+02:00
cpmt,LSO,AFR,2014,DHSMICSGEOREGION,DHSMICSGEOREGION_LSODHS201401,56.50951,50.81661,62.03573,56.5 [50.8-62.0],2022-05-26T14:31:55+02:00
cpmt,BFA,AFR,2003,DHSMICSGEOREGION,DHSMICSGEOREGION_BFADHS200308,9.89607,7.50445,12.94323,9.9 [7.5-12.9],2022-05-26T14:14:20+02:00
cpmt,LBR,AFR,2013,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,23.29474,17.22195,30.71436,23.3 [17.2-30.7],2022-05-26T12:56:29+02:00
cpmt,BFA,AFR,1998,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,8.99351,6.38318,12.52846,9.0 [6.4-12.5],2022-05-26T12:00:35+02:00
cpmt,CMR,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_CMRMICS200604,28.18536,21.46221,36.0479,28.2 [21.5-36.0],2022-05-26T14:16:08+02:00
cpmt,TCD,AFR,2014,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,2.86592,1.87758,4.35144,2.9 [1.9-4.4],2022-05-26T12:03:08+02:00
cpmt,MWI,AFR,2010,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,46.02121,44.48193,47.56812,46.0 [44.5-47.6],2022-05-26T11:20:33+02:00
cpmt,TCD,AFR,2019,DHSMICSGEOREGION,DHSMICSGEOREGION_TCDMICS201921,1.15023,0.53546,2.45342,1.2 [0.5-2.5],2022-05-26T14:17:44+02:00
cpmt,ZMB,AFR,2018,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,37.7306,33.78373,41.84716,37.7 [33.8-41.8],2022-05-26T11:26:18+02:00
cpmt,MWI,AFR,2019,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,62.98907,60.60545,65.31101,63.0 [60.6-65.3],2022-05-26T12:57:09+02:00
cpmt,SEN,AFR,2014,DHSMICSGEOREGION,DHSMICSGEOREGION_SENDHS201405,13.85567,9.60375,19.58228,13.9 [9.6-19.6],2022-05-26T14:46:01+02:00
cpmt,GNB,AFR,2018,AGEGROUP,AGEGROUP_YEARS15-19,8.2676,5.57121,12.10175,8.3 [5.6-12.1],2022-05-26T11:02:20+02:00
cpmt,GIN,AFR,2005,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,4.23781,3.13973,5.69735,4.2 [3.1-5.7],2022-05-26T12:10:51+02:00
cpmt,CMR,AFR,2004,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,36.20127,34.02087,38.44,36.2 [34.0-38.4],2022-05-26T11:33:28+02:00
cpmt,ZWE,AFR,2010,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,64.57221,61.51426,67.5155,64.6 [61.5-67.5],2022-05-26T13:08:00+02:00
cpmt,MLI,AFR,2001,AGEGROUP,AGEGROUP_YEARS20-49,8.46211,7.63033,9.37535,8.5 [7.6-9.4],2022-05-26T11:03:57+02:00
cpmt,BDI,AFR,2016,AGEGROUP,AGEGROUP_YEARS15-19,24.23905,18.04787,31.73173,24.2 [18.0-31.7],2022-05-26T11:00:09+02:00
